id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
DOID:5268	myxoid leiomyosarcoma		189792003		5268		C3701				C0205816	D007890
DOID:5271	small intestine leiomyosarcoma	leiomyosarcoma of the small Bowel	716651004		5271		C7085				C0920305	
DOID:5272	small intestinal sarcoma	sarcoma of the Small Intestine			5272		C5335				C1336007	
DOID:5273	cutaneous leiomyosarcoma	leiomyosarcoma of the skin	254771006		5273		C4484				C0346067	
DOID:5274	malignant dermis tumor	malignant dermis tumour | malignant neoplasm of Dermis | malignant tumor of dermis | malignant tumour of dermis	255096006		5274		C4574				C0346811	
DOID:5275	gallbladder leiomyosarcoma	leiomyosarcoma of the gallbladder			5275		C5841				C1333746	
DOID:5276	esophagus leiomyosarcoma	leiomyosarcoma of esophagus | leiomyosarcoma of oesophagus | oesophagus leiomyosarcoma	1156786006		5276		C5334				C1333454	
DOID:528	hydrarthrosis		156579009		528						C0158157	
DOID:5280	gastric leiomyosarcoma		447785000		5280		C27200				C0744295	
DOID:5282	prostate leiomyosarcoma	leiomyosarcoma of the prostate			5282		C5526				C1335511	
DOID:5283	vagina leiomyosarcoma	leiomyosarcoma of the vagina			5283		C6326				C1336940	
DOID:5284	retroperitoneal leiomyosarcoma				5284		C27904					
DOID:5285	breast leiomyosarcoma	leiomyosarcoma of the breast			5285		C5186				C1332631	
DOID:5286	vulvar leiomyosarcoma				5286		C40318					
DOID:5287	kidney leiomyosarcoma	leiomyosarcoma of kidney			5287		C6183				C1335743	
DOID:5288	larynx leiomyosarcoma	leiomyosarcoma of Larynx			5288		C6022				C1334371	
DOID:5289	uterus leiomyosarcoma	leiomyosarcoma of Corpus Uteri	447389009		5289		C6340				C0280631	
DOID:529	blepharospasm		155009007		529		C118723	G24.5			C0005747	D001764
DOID:5292	mediastinum leiomyosarcoma	leiomyosarcoma of mediastinum			5292		C6619				C1334660	
