id	label	synonyms	umls
NCIT:C110936	Toxic Methemoglobinemia with Cyanosis		C1263992
NCIT:C110938	Tachyarrhythmia		C0080203
NCIT:C110940	Panhypopituitarism	Complete Hypopituitarism	C4227838
NCIT:C110942	Congenital Anomaly of Pulmonary Veins		C0265914
NCIT:C110960	Bone Marrow Aplasia		C1368107
NCIT:C111020	Uveal Class 1 Melanoma	Class 1 Uveal Melanoma	C3831088
NCIT:C111021	Uveal Class 2 Melanoma	Class 2 Uveal Melanoma	C3831087
NCIT:C111022	Uveal Class 1a Melanoma	Class 1a Uveal Melanoma	C3831090
NCIT:C111023	Uveal Class 1b Melanoma	Class 1b Uveal Melanoma	C3831089
NCIT:C111030	Uveal Melanoma by Gene Expression Profile		C3827193
NCIT:C111119	AV Block Second Degree	Atrioventricular Block Second Degree | Atrioventricular Block, Second Degree | Second Degree Atrioventricular Block | Second Degree AV Block	C3809620
NCIT:C111199	Experimental Organism Basal Cell Carcinoma	Basal Cell Cancer | Basal Cell Carcinoma | Basal Cell Epithelioma | Basal Cell Skin Carcinoma | BCC | CARCINOMA, BASAL CELL, MALIGNANT	C3811653
NCIT:C111643	Ectopia Cordis		C0013580
NCIT:C111646	Junctional Ectopic Tachycardia		C0039235
NCIT:C111647	Levocardia		C0023569
NCIT:C111648	Polymorphic Ventricular Tachycardia		C0344432
NCIT:C111649	Post-Pericardiotomy Syndrome		C0032805
NCIT:C111652	Vascular Shunt Thrombosis	Shunt Thrombosis	C1142175
NCIT:C111656	Twin Reversed Arterial Perfusion Sequence Malformation	Acardiac Malformation | Acardiac Twin | TRAP Sequence	C0266717
NCIT:C111691	Glioblastoma by Gene Expression Profile		C3827194
NCIT:C111692	Proneural Glioblastoma		C3828464
NCIT:C111693	Neural Glioblastoma		C3828832
NCIT:C111694	Classical Glioblastoma		C3827253
NCIT:C111695	Mesenchymal Glioblastoma		C3829122
NCIT:C111779	Ductus Venosus Agenesis		C2363934
NCIT:C111780	Antepartum Obstetric Air Embolism		C3831528
NCIT:C111781	Postpartum Obstetric Air Embolism		C3828507
NCIT:C111782	Antepartum Obstetric Septic Embolism		C3831527
NCIT:C111783	Antepartum Obstetric Thromboembolism		C3831526
NCIT:C111802	Dyskeratosis Congenita	DKC | Zinsser-Engman-Cole Syndrome	C0265965
NCIT:C111814	Griscelli Syndrome Type 2	GS2 | PAID Syndrome | Partial Albinism and Immunodeficiency Syndrome	C1868679
NCIT:C111853	Sudden Unexplained Infant Death	SUID	C3814825
NCIT:C111854	Sudden Unexplained Death in Childhood		C3827273
NCIT:C111855	Neonatal Neutropenia		C0543693
NCIT:C111856	Disseminated Intravascular Coagulation in Newborn	Neonatal Disseminated Intravascular Coagulation	C0158992
NCIT:C111857	Hemorrhagic Disease of Newborn	Vitamin K Deficiency Bleeding in Newborn	C0019088
NCIT:C111861	Postpartum Obstetric Septic Embolism		C3828506
NCIT:C111865	Postpartum Obstetric Thromboembolism		C3828505
NCIT:C111886	Diaper Dermatitis	Diaper Rash | Nappy Rash	C0011974
NCIT:C111887	Candida Diaper Dermatitis	Candida Diaper Rash | Candida Nappy Rash	C0343874
NCIT:C111888	Seborrheic Dermatitis	Cradle Cap | Seborrhea | Seborrheic Eczema	C4012362
NCIT:C111904	Immune Hydrops Fetalis		C0455990
NCIT:C111905	Non-Immune Hydrops Fetalis		C1835252
NCIT:C111908	Angiotensin Converting Enzyme Inhibitor Fetopathy	ACE Fetopathy | ACE Inhibitor Fetopathy	C0919881
NCIT:C111909	Diabetic Fetopathy		C1167662
NCIT:C111911	Amniotic Fluid Embolism	Amniotic Fluid Embolism Syndrome	C0013927
NCIT:C111913	Pre-Gestational Diabetes	Pregestational Diabetes | Unspecified pre-existing diabetes mellitus in pregnancy, unspecified trimester	C3828492
NCIT:C111914	Postpartum Endometritis	Puerperal Endometritis | Puerperal Endomyometritis	C0269932
NCIT:C111915	Severe Sepsis	Sepsis with Organ Dysfunction	C1719672
NCIT:C111943	Clinical Chorioamnionitis		C3831078
NCIT:C111963	Neurodermatitis	Lichen Simplex Chronicus	C0027822
