id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:263494	DPM3-CDG	CDG syndrome type Io | CDG-Io | CDG1O | Carbohydrate deficient glycoprotein syndrome type Io | Congenital disorder of glycosylation type 1o | Congenital disorder of glycosylation type Io							263494	612937	C2752007	C567857
ORPHA:3023	External auditory canal atresia-vertical talus-hypertelorism syndrome	Rasmussen-Johnsen-Thomsen syndrome							3023	133705	C2930867	C535290
ORPHA:263487	COG5-CDG	CDG syndrome type IIi | CDG-IIi | CDG2I | Carbohydrate deficient glycoprotein syndrome type IIi | Congenital disorder of glycosylation type 2i | Congenital disorder of glycosylation type IIi							263487	613612	C3150876	
ORPHA:263458	Hyperinsulinism due to INSR deficiency	Hyperinsulinemic hypoglycemia due to INSR deficiency | Hyperinsulinemic hypoglycemia due to insulin receptor deficiency							263458	609968	C4303474	
ORPHA:1832	Osteosclerotic bone dysplasia	Raine syndrome							1832	259775	C1850106	C535282
ORPHA:263455	Congenital hyperinsulinism due to HNF4A deficiency	Hyperinsulinemic hypoglycemia due to HNF4A deficiency							263455		C4274078	
ORPHA:3018	Retinal ischemic syndrome-digestive tract small vessel hyalinosis-diffuse cerebral calcifications syndrome	Rambaud-Gallian syndrome | Rambaud-Gallian-Touchard syndrome							3018	277175	C4510224	C535283
ORPHA:3019	Ramon syndrome	Cherubism-gingival fibromatosis-intellectual disability syndrome							3019	266270	C0796133	C535285
ORPHA:263463	CHST3-related skeletal dysplasia	Chondrodysplasia with congenital joint dislocations, CHST3 type | SDCD, CHST3 type | Spondyloepiphyseal dysplasia with congenital joint dyslocations, CHST3 type							263463	143095	C1837657	
ORPHA:263432	Nevus of Ito	Nevus fuscocaeruleus acromiodeltoideus							263432		C0022283	
ORPHA:263425	Nevus of Ota	Nevus fusculoceruleus ophthalmomaxillaris							263425		C0027961	D009507
ORPHA:3015	Radio-renal syndrome								3015	179280	C2931146	C536267
ORPHA:263440	Neuroacanthocytosis								263440		C0393576	D054546
ORPHA:263435	Congenital smooth muscle hamartoma								263435		C0406819	
ORPHA:3016	Absent radius-anogenital anomalies syndrome								3016	312190	C4749807	C535281
ORPHA:263410	Infantile spasms-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome								263410	607483	C5190692	
ORPHA:3010	Qazi-Markouizos syndrome	Dysharmonic skeletal maturation-muscular fiber disproportion syndrome							3010	600096	C2931142	C536259
ORPHA:263355	OBSOLETE: ATR-X-related syndrome								263355			
ORPHA:3011	Spastic tetraplegia-retinitis pigmentosa-intellectual disability syndrome	Spastic quadriplegia-retinitis pigmentosa-intellectual disability syndrome							3011	270950	C4509974	
ORPHA:263417	Bartter syndrome with hypocalcemia								263417			
ORPHA:769	Rabson-Mendenhall syndrome								769	262190	C0271695	
ORPHA:263413	Angiosarcoma								263413		C0018923	
ORPHA:3003	Pyknoachondrogenesis	Camera syndrome							3003	265880	C1849523	C536251
ORPHA:263335	Moderately-differentiated thymic neuroendocrine carcinoma								263335		C5680730	
ORPHA:263339	Poorly differentiated thymic neuroendocrine carcinoma								263339		C4305466	
ORPHA:3005	Pyle disease	Metaphyseal dysplasia, Pyle type | SFRP4-related Pyle disease							3005	265900	C0265294	C536252
ORPHA:263347	MRCS syndrome	Microcornea-rod-cone dystrophy-cataract-posterior staphyloma syndrome							263347		C4749856	
ORPHA:263352	Postcardiotomy right ventricular failure								263352		C5680731	
ORPHA:3004	Mirror polydactyly-vertebral segmentation-limbs defects syndrome								3004		C4275100	
ORPHA:263310	Thymoma type A								263310		C1266091	
