id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0004196	rectal sarcomatoid carcinoma	rectal sarcomatoid cancer | rectal spindle cell carcinoma | rectum sarcomatoid carcinoma | sarcomatoid carcinoma of rectum | sarcomatoid carcinoma of the rectum		7356	C5556			C1335689	
MONDO:0004197	male urethral cancer	cancer of male urethra | male urethra cancer | Male urethral malignant neoplasm | malignant male urethra neoplasm | malignant neoplasm of male urethra		736	C39867			C1518164	
MONDO:0004198	testicular yolk sac tumor, solid pattern			7360	C39925			C1515312	
MONDO:0004199	vulvar keratinizing squamous cell carcinoma			7363	C40284			C2109334	
MONDO:0004200	superficial urinary bladder carcinoma	superficial bladder cancer | superficial bladder carcinoma | superficial urinary bladder cancer	425231005	7371	C27474			C1336527	
MONDO:0004201	pituitary hypoplasia			7378	C27343			C0948740	
MONDO:0004202	adrenal medulla carcinoma	carcinoma of adrenal medulla		7379					
MONDO:0004203	female urethral cancer	cancer of female urethra | female urethra cancer | female urethral malignant neoplasm | malignant female urethra neoplasm | malignant neoplasm of female urethra		738	C39866			C1517154	
MONDO:0004204	squamous cell skin papilloma	Dyskeratotic papilloma of skin | Dyskeratotic papilloma of the skin | Dyskeratotic skin papilloma | hyperkeratotic papilloma of skin | hyperkeratotic papilloma of the skin | hyperkeratotic skin papilloma | parakeratotic papilloma of skin | parakeratotic papilloma of the skin | squamous cell papilloma of the skin | zone of skin squamous papilloma	254661000	7380	C4462			C0345983	
MONDO:0004205	lymphohistiocytoid mesothelioma			7381	C27779			C1334464	
MONDO:0004206	pulmonary vein leiomyosarcoma	leiomyosarcoma of pulmonary vein | leiomyosarcoma of the pulmonary vein		7388	C5374			C1335575	
MONDO:0004207	pulmonary artery leiomyosarcoma	leiomyosarcoma of pulmonary artery | leiomyosarcoma of the pulmonary artery		7389	C5373			C1335572	
MONDO:0004208	superior vena cava leiomyosarcoma	anterior vena cava leiomyosarcoma | leiomyosarcoma of anterior vena cava | leiomyosarcoma of Superior vena cava | leiomyosarcoma of the Superior vena cava		7390	C6745			C1336531	
MONDO:0004209	cerebral primitive neuroectodermal tumor	cerebral hemisphere PNET | cerebral hemisphere primitive neuroectodermal neoplasm | cerebral hemisphere primitive neuroectodermal tumor | cerebral hemisphere primitive neuroectodermal tumour | cerebral PNET | cerebral primitive neuroectodermal neoplasm | PNET of cerebral hemispheres | PNET of cerebrum | PNET of the cerebral hemispheres | PNET of the cerebrum | primitive neuroectodermal neoplasm of cerebral hemispheres | primitive neuroectodermal neoplasm of cerebrum | primitive neuroectodermal neoplasm of the cerebral hemispheres | primitive neuroectodermal neoplasm of the cerebrum | primitive neuroectodermal tumor of cerebral hemispheres | primitive neuroectodermal tumor of cerebrum | primitive neuroectodermal tumor of the cerebral hemispheres | primitive neuroectodermal tumor of the cerebrum | primitive neuroectodermal tumour of cerebral hemispheres | primitive neuroectodermal tumour of cerebrum | primitive neuroectodermal tumour of the cerebral hemispheres | primitive neuroectodermal tumour of the cerebrum		7398	C4970			C0751675	
MONDO:0004210	colonic L-cell glucagon-like peptide producing tumor	colon L-cell glucagon-like peptide-producing NET | colon L-cell glucagon-like peptide-producing neuroendocrine tumor | colon L-cell glucagon-like peptide-producing neuroendocrine tumour | colonic L-cell glucagon-like peptide-producing neuroendocrine tumor | colonic L-cell glucagon-like peptide-producing neuroendocrine tumour | L-cell glucagon-like peptide-producing neuroendocrine tumor of colon | L-cell glucagon-like peptide-producing neuroendocrine tumour of colon		7401	C27447			C3274139	
MONDO:0004211	L-cell glucagon-like peptide-producing neuroendocrine tumor	L-cell glucagon-like peptide-producing NET		7402	C27448			C3274140	
MONDO:0004212	vulvar keratoacanthoma-like carcinoma	vulvar squamous cell carcinoma, keratoacanthoma type		7408	C40288				
MONDO:0004213	vulvar non-keratinizing squamous cell carcinoma			7409	C40285			C1520092	
MONDO:0004214	ovarian endometrioid cystadenofibroma			7411	C27288			C1335158	
MONDO:0004215	cutaneous anthrax		84980006	7426		A22.0		C0003177	C531621
MONDO:0004216	pineal region germinoma	pineal germinoma		7428	C8712		91352	C0854912	
MONDO:0004217	childhood brain germinoma	brain germinoma of childhood | germinoma of childhood brain | germinoma of paediatric brain | germinoma of pediatric brain | germinoma of the childhood brain | germinoma of the paediatric brain | germinoma of the pediatric brain | paediatric brain germ cell cancer | paediatric brain germinoma | pediatric brain germ cell cancer | pediatric brain germinoma		7429	C6207			C1332948	
MONDO:0004218	childhood germ cell brain tumor	Brain germ cell tumor | Brain germ cell tumour | childhood brain germ cell neoplasm | childhood brain germ cell tumor | childhood brain germ cell tumour | childhood germ cell brain neoplasm | germ cell neoplasm of childhood brain | germ cell neoplasm of paediatric brain | germ cell neoplasm of pediatric brain | germ cell neoplasm of the childhood brain | germ cell neoplasm of the pediatric brain | germ cell tumor of childhood brain | germ cell tumor of pediatric brain | germ cell tumor of the childhood brain | germ cell tumor of the pediatric brain | germ cell tumour of childhood brain | germ cell tumour of paediatric brain | germ cell tumour of the childhood brain | germ cell tumour of the paediatric brain | paediatric brain germ cell neoplasm | paediatric brain germ cell tumour | pediatric brain germ cell neoplasm | pediatric brain germ cell tumor		7430	C5795			C1377598	
